,road,km,type,model_type,name,length,condition,lat,lon,intersec_to
59,N1,63.098,Slab Culvert,bridge,MATIA BAZER,6.0,B,23.5024077848,90.9432418928,
60,N1,63.538,Box Culvert,bridge,SONAPUR BOX CULVERT,3.0,A,23.5013551924,90.9473844088999,
61,N1,66.178,Slab Culvert,bridge,KARON KHAL SLAB CULVERT,4.6,B,23.495896314,90.9715772516,
62,N1,68.04,Box Culvert,bridge,MILL GHAT BOX CULVERT,4.5,A,23.4932728146,90.9887200416,
63,N1,71.156,RCC Girder Bridge,bridge,Chandinan-Shahapara Bridge.,22.55,C,23.4868805937254,91.017566692647,
64,N1,74.279,Box Culvert,bridge,CORI PAI BOX CULVERT,4.6,B,23.4817873233065,91.0463348850746,
65,N1,75.312,Box Culvert,bridge,COREPAI BOX CULVERT,4.6,B,23.4817498298684,91.0563549686842,
66,N1,76.481,Slab Culvert,bridge,NIMSHAR SLAB CULVERT,1.5,A,23.480613086,91.0674097692,
67,N1,78.382,Slab Culvert,bridge,KABILA DUBARCHAR SLAB CULVERT,1.0,C,23.4776722851,91.0847406393,
68,N1,80.949,Box Culvert,bridge,NAZIRA BOX CULVERT,3.0,B,23.4781159049382,91.1070332074074,
69,N1,81.846,intersection,intersection,Road to Brahmanbaria(N102),,,23.4789716,91.118166,N104
70,N1,82.437,Box Culvert,bridge,TIPRA BAZAR BOX CULVERT,1.4,A,23.4794083880733,91.1238920825688,
71,N1,82.989,Slab Culvert,bridge,AMTOLI SLAB CULVERT,2.9,A,23.479544924,91.129047144,
72,N1,87.713,RCC Girder Bridge,bridge,Dhanpur Bridge,22.85,C,23.4436339598272,91.1493668151188,
73,N1,91.092,RCC Girder Bridge,bridge,Paduar Bazar Bridge,35.97,C,23.4212487704918,91.1678943372365,
74,N1,93.6,RCC Girder Bridge,bridge,Mostapur Bridge,27.35,C,23.4119324230158,91.1939029849206,
75,N1,97.257,RCC Girder Bridge,bridge,Matigara Bridge,27.35,C,23.3976518197887,91.2234221346859,
76,N1,100.938,RCC Girder Bridge,bridge,SUAGAZI RCC GIDER BRIDGE,30.4,A,23.3713647755,91.2450175414999,
77,N1,103.456,RCC Girder Bridge,bridge,Lalbag Bridge.,22.88,C,23.3521636774381,91.2572910746724,
78,N1,104.753,Box Culvert,bridge,CHANSIRI BOXCUIVERT,14.3,A,23.342671472,91.264485636,
79,N1,106.519,Box Culvert,bridge,MIABAZAR BOX CULVERT,24.0,A,23.3301462324,91.2748792824,
80,N1,108.125,Box Culvert,bridge,NOYA BAZER BOX CULVERT,9.2,A,23.3180696869138,91.2830867321701,
81,N1,109.289,Box Culvert,bridge,DOLL BARI CULVERT,19.2,B,23.3083612731261,91.2865787034735,
82,N1,109.897,Slab Culvert,bridge,DHARMA PUR SLAB CULVERT,2.6,B,23.3034306450331,91.2889770397351,
83,N1,110.551,Box Culvert,bridge,LALGORE BEZER CULVERT,3.2,A,23.2979675271676,91.2910141369942,
84,N1,111.509,Box Culvert,bridge,SUPUYA BOX CULVERT,13.4,A,23.2897066386454,91.2929584711155,
85,N1,112.469,Box Culvert,bridge,BOWCHI BAZAR CULVERT,4.6,B,23.2821949258397,91.2966655096899,
86,N1,113.717,Box Culvert,bridge,AMAN GONG SLAB CULVERT,6.3,B,23.27301895,91.3029661882,
87,N1,115.052,Box Culvert,bridge,RANGAMATIA (1 BOX CULVERT,3.0,B,23.2618360940594,91.3070217386138,
88,N1,115.326,Slab Culvert,bridge,RANGOWATIA 2 CULVERT,3.0,B,23.25941665,91.3073611,
89,N1,115.525,Box Culvert,bridge,NOWA PARA BOX CULVERT,3.6,B,23.2576429774881,91.3076156494075,
90,N1,116.074,Box Culvert,bridge,HARISHARDE CULVERT,4.5,B,23.2527463398104,91.3083926405213,
91,N1,117.087,Box Culvert,bridge,SONAGATI BOX CULVERT,2.5,B,23.2443915125925,91.3114032292592,
92,N1,117.269,Box Culvert,bridge,BALUJURI BOX CULVERT,19.2,B,23.2429040619631,91.3119739539877,
93,N1,117.627,Box Culvert,bridge,BALUZURI 2 CULVERT,2.6,A,23.2397920309669,91.3125740860465,
94,N1,118.049,Box Culvert,bridge,KALIR BAZAR BOX CULVERT,2.5,A,23.2360759516523,91.3129901976744,
95,N1,118.856,Box Culvert,bridge,KALIA BAZER BOC CULVERT,3.1,B,23.2289195919642,91.3134220678571,
96,N1,119.19,Box Culvert,bridge,CHAUDDAGARAM BOX CULVERT,2.6,B,23.2259184472573,91.3135697177215,
97,N1,119.628,Box Culvert,bridge,CHADDAGRAM BAZAR BOX CULVERT,6.0,A,23.2220338977777,91.3137005933333,
98,N1,120.634,Box Culvert,bridge,HAYDAR POLE BOX CULVERT,14.3,B,23.2131955721448,91.3153497403899,
99,N1,121.567,Box Culvert,bridge,FALGUNCORA CULVERT,6.1,A,23.2050386287937,91.3163167282749,
100,N1,122.603,Box Culvert,bridge,ATTOCK GRAM BOX CULVERT,6.1,A,23.1961887953757,91.3176705069364,
101,N1,123.681,Box Culvert,bridge,BOSONTA PUR BOX CULVERT,6.1,C,23.1874350254302,91.3209051317399,
102,N1,124.346,Box Culvert,bridge,BASHONTA PUR (2,9.5,B,23.1817958149837,91.3208787514658,
103,N1,125.41,Box Culvert,bridge,NANKORA BOX CULVERT,3.1,B,23.1726272318681,91.3205774642857,
104,N1,126.448,Box Culvert,bridge,ANDAJER BAZER BOX CULVERT,9.5,A,23.1635138669191,91.3215889464646,
105,N1,127.673,Box Culvert,bridge,DIMATOLI (1 BOX CULVERT,6.3,B,23.1527364949367,91.3243178772152,
106,N1,128.767,Box Culvert,bridge,DIMATOLY (2 BOX CULVERT,3.5,B,23.1436667679334,91.3266680470308,
107,N1,129.291,Box Culvert,bridge,JAGARNATHPUR BOX CULVERT,6.1,B,23.1389893200345,91.3263585348877,
108,N1,129.955,Box Culvert,bridge,JAGOT PUR BOX CULVERT,3.0,B,23.1332639685968,91.327546416481,
109,N1,130.912,Box Culvert,bridge,HASO BOTHACH BOX CULVERT,6.5,A,23.1252363577777,91.3303863688888,
110,N1,131.577,Slab Culvert,bridge,FOKIR BAZAR SLAB CULVERT,4.5,B,23.1196973774193,91.3328165129032,
111,N1,132.079,Box Culvert,bridge,KAKKARA CULVERT,5.3,B,23.1158251554,91.335094485,
112,N1,133.155,Box Culvert,bridge,Chanara Box Culvert,6.1,A,23.1074284451388,91.3400495436111,
113,N1,133.873,Box Culvert,bridge,CHANGARPULL(II BOX CULVERT,3.1,B,23.1017563206521,91.343162998913,
114,N1,134.426,Box Culvert,bridge,ADONCORA,9.5,B,23.0973512527272,91.3454956309091,
115,N1,134.974,Box Culvert,bridge,PODOYA BOX CULVERT,3.1,A,23.0930298369186,91.3478308386627,
116,N1,135.723,Box Culvert,bridge,FOEALTPARA BOX CULVERT,9.25,B,23.0870753710144,91.3512101492753,
117,N1,136.375,Box Culvert,bridge,UTTOR KAIEATI CULVERT,3.5,A,23.0819909531309,91.3541811474383,
118,N1,136.899,Box Culvert,bridge,KOKALI BOX CULVERT,14.2,B,23.0779647046997,91.3566005031331,
119,N1,137.856,Box Culvert,bridge,DUTHOSHA BOX CULVERT,6.1,B,23.070198184,91.3603022,
120,N1,138.953,Box Culvert,bridge,MOHAMMAD ALI MAZAR,4.0,B,23.0607473333333,91.3618624619047,
121,N1,141.531,Box Culvert,bridge,FATAPUR BOX CULVERT,10.8,A,23.0379728055555,91.3656784724359,
122,N1,142.793,Slab Culvert,bridge,DEBIPUR SLAB CULVERT,1.6,A,23.0269801170731,91.3655004839721,
123,N1,143.946,intersection,intersection,Box culvert,,,23.0185271,91.3708327,N120
124,N1,144.939,Box Culvert,bridge,CHARIPUR CULVERT.,3.4,A,23.0124048410423,91.3779796149837,
125,N1,147.296,Box Culvert,bridge,RAMPUR BOX CULVERT,1.5,A,22.999248756,91.3957752,
126,N1,148.151,RCC Girder Bridge,bridge,RAMPUR BRIDGE,23.4,A,22.9947280792802,91.4022894900763,
127,N1,148.174,PC Girder Bridge,bridge,Rampur Bridge(R,22.15,A,22.9945936133042,91.4024539137404,
128,N1,148.495,Box Culvert,bridge,.,1.9,A,22.9927169359869,91.4047486961832,
129,N1,153.843,PC Girder Bridge,bridge,LAMUA BRIDGE,94.05,B,22.9614487369369,91.4429962027027,
130,N1,158.031,Box Culvert,bridge,FAZAILPUR BOXCULVERT,1.5,A,22.9486038666666,91.4794993833333,
131,N1,160.379,PC Girder Bridge,bridge,MUHURI BRIDGE,191.5,B,22.9496126090047,91.502066899526,
132,N1,165.183,PC Girder Bridge,bridge,DumGhat Bridge(L,222.43,A,22.9149647061403,91.5262895350877,
133,N1,165.183,PC Girder Bridge,bridge,DHOOM GHAT PC GIRDER,220.6,B,22.9149647061403,91.5262895350877,
134,N1,165.825,Box Culvert,bridge,BUMGAT BOXCULVERT,6.1,A,22.9097128884012,91.5289285034482,
135,N1,166.479,Slab Culvert,bridge,BOROYAR PARA SLUB CULVERT,3.0,A,22.9042462955223,91.5316297776119,
136,N1,167.963,Box Culvert,bridge,BAROYARHAT BOX CULVERT,3.0,A,22.8916386,91.5354719,
137,N1,169.933,Box Culvert,bridge,UTTOR SONAPAR BOX CULVERT,4.3,A,22.8746986941176,91.5408836647058,
138,N1,170.174,Box Culvert,bridge,CHAIRMEN BARI BOX CULVERT,2.0,A,22.872722034892,91.5415958766187,
139,N1,170.725,Box Culvert,bridge,MADDAM SONAPAR(1 BOX CULVERT,1.5,A,22.8680563702127,91.5432963340425,
140,N1,171.554,Box Culvert,bridge,DHARBAR TILA CULVERT,4.3,A,22.8609876872509,91.5451551717131,
141,N1,171.728,Box Culvert,bridge,MADDUM SONAPHAR-3,2.0,A,22.8594847882591,91.5454799987854,
142,N1,172.122,Box Culvert,bridge,MAMAFOUN ASTANA CULVERT,1.5,A,22.8560565672727,91.5457188709091,
143,N1,172.23,Slab Culvert,bridge,MAMAFAKIR ASTANA SLAB CULVERT,1.5,A,22.8551475327433,91.5458221849557,
144,N1,172.969,Box Culvert,bridge,MASTANNAGOR BONCUL(1,8.5,A,22.8486172764705,91.5463706117647,
145,N1,173.35,Box Culvert,bridge,MUSTAU NOGAR(2,3.0,A,22.8453914894736,91.5474689210526,
146,N1,173.585,Box Culvert,bridge,MASTARI HAGOR 3 CULVERT,1.5,A,22.8434551375,91.54814955625,
147,N1,173.859,Box Culvert,bridge,MUSTAN NAGAR -4,3.0,A,22.8410943334277,91.5488096951841,
148,N1,174.804,Box Culvert,bridge,RAIPUR BOX CUL-1,3.0,A,22.8327467692419,91.5501035014577,
149,N1,175.013,Box Culvert,bridge,RAIPUR (2 BOX CULVERT,4.5,A,22.8309613422018,91.5505028545871,
150,N1,175.785,Box Culvert,bridge,PURPU DURGAPURE BOX CUL,12.4,C,22.8243706577981,91.5526915454128,
151,N1,177.247,Box Culvert,bridge,MUCHIPOOL CULVERT,9.5,B,22.811563437647,91.5562562129411,
152,N1,179.363,Box Culvert,bridge,MIRSARAI BOX CUL,4.5,A,22.7941813523326,91.5629612622718,
153,N1,180.85,RCC Girder Bridge,bridge,MIRAISORI BRIDGE,23.2,B,22.7821968918511,91.5691025661971,
154,N1,181.825,Box Culvert,bridge,Mirsorai(2 box culvert,6.0,A,22.774197092,91.5728737519999,
155,N1,182.318,Box Culvert,bridge,IANAINIPOL BOX CULVERT.,9.7,A,22.770251666098,91.5750905211087,
156,N1,183.296,Box Culvert,bridge,BOKIMTOLA BOX CULVERT,4.0,A,22.7630626913907,91.5804538821192,
157,N1,184.654,Box Culvert,bridge,VARTAKA BOX CULVERT,12.9,A,22.7535653245121,91.5886004236585,
158,N1,185.058,Box Culvert,bridge,VARTAGIA BOX CULVERT,3.0,A,22.7506393495689,91.5908840370689,
159,N1,185.842,Box Culvert,bridge,BOTHAGIA (-3 BOX CULVERT,8.1,B,22.7445136523437,91.5943998915364,
160,N1,188.35,Box Culvert,bridge,NIAZAMPUR BOX CULVERT,3.0,A,22.723316755473,91.6024331404452,
161,N1,189.058,Box Culvert,bridge,MIRJAPUR BOX CULVERT,3.0,A,22.7178243865384,91.6057623307692,
162,N1,189.13,Box Culvert,bridge,MIRZAPUR (2 BOX CULVERT,3.0,A,22.7172707342307,91.6061084846153,
163,N1,189.58,Box Culvert,bridge,ISAMATI BOX CULVERT,19.2,C,22.7138727382812,91.6082352218749,
164,N1,191.107,Box Culvert,bridge,DUKHIN UTHPAR BOX CULVERT,19.2,A,22.701816503937,91.6149734608923,
165,N1,192.408,Box Culvert,bridge,VANGGARPOL BOX CULVERT,4.2,A,22.6912517148148,91.6201690574074,
166,N1,192.95,Box Culvert,bridge,BORO KAMALDA BOX CULVERT,3.2,A,22.6868697647058,91.6220385823529,
167,N1,194.149,Box Culvert,bridge,TARAT BOX CULVERT,6.0,A,22.6769772991044,91.6268169453731,
168,N1,194.998,Box Culvert,bridge,Tarial Bazar Culvert,3.0,A,22.6699594391304,91.6293531695652,
169,N1,195.501,Box Culvert,bridge,MIRJA PUR (3 BOX CULVERT,3.0,A,22.6657838981081,91.6311293581081,
170,N1,196.038,Box Culvert,bridge,SATU DURUAR HAT BOX CULVERT,3.0,A,22.6615956814814,91.6335257425926,
171,N1,196.925,Box Culvert,bridge,RONA SORA CULVERT,3.1,A,22.6547124294117,91.6379261764705,
172,N1,197.39,Box Culvert,bridge,NUNA CHARA BOX CULVERT,4.6,A,22.6510709547445,91.6400341194647,
173,N1,197.846,Box Culvert,bridge,BOTTOL BOX CULVERT,12.4,A,22.6474561112311,91.6419171170626,
174,N1,199.279,Box Culvert,bridge,KACHAI PATH BOX CULVERT,3.0,A,22.636096590965,91.648209240657,
175,N1,199.502,Box Culvert,bridge,KACHAI POTTI BOX CULVERT,3.0,A,22.6343285718685,91.6492077265913,
176,N1,200.277,Box Culvert,bridge,EGOL PUR BOX CULVERT,3.0,A,22.6281666352941,91.6527578258312,
177,N1,200.575,Box Culvert,bridge,UTTOR SITAKONDO BAZAR BOX CULVERT,6.1,B,22.6258323373493,91.6541857554217,
178,N1,200.918,Slab Culvert,bridge,SITAKUNDA SLAB,3.0,A,22.6230461711711,91.6554672531531,
179,N1,201.52,Box Culvert,bridge,MOHADAB PUR BOX CULVERT,3.0,A,22.6177563490118,91.6580589438735,
180,N1,201.999,Slab Culvert,bridge,PURBOMOHADAB PUR SLAB CULVERT(L,4.6,A,22.6149899686274,91.6602670503268,
181,N1,201.999,Box Culvert,bridge,DULAHAJRA(R,4.6,A,22.6149899686274,91.6602670503268,
182,N1,202.435,Box Culvert,bridge,MADICAL MORE CULVERT,3.0,A,22.6117556741935,91.6625686731182,
183,N1,203.457,Box Culvert,bridge,DOKHIN MOHADEB PUR BOX CULVERT,2.95,A,22.6038394411764,91.6673745588235,
184,N1,203.651,Box Culvert,bridge,KALIAVA BOX CULVERT,4.5,B,22.6023506949579,91.6683367336134,
185,N1,204.342,Box Culvert,bridge,SKM BOX CULVERT(1,9.3,B,22.5971665766519,91.671819207489,
186,N1,204.765,Box Culvert,bridge,HATILOTA BOX CULVERT,4.5,A,22.5938881803921,91.6738889367647,
187,N1,205.615,RCC Girder Bridge,bridge,BAROCONDO BRIDGE,22.25,C,22.5870350167767,91.6770444686922,
188,N1,206.3,Box Culvert,bridge,BAROGINDO CULVERT,2.5,A,22.5815086746355,91.6795390413994,
189,N1,206.866,Box Culvert,bridge,BARO-CUNDHOW BOX CULVERT,10.2,A,22.5767930229508,91.68162274153,
190,N1,207.64,Box Culvert,bridge,PHPMORE BON CULVERT,3.0,A,22.5702905930578,91.6840096656198,
191,N1,207.913,Box Culvert,bridge,CHARA KANDI BOX CULVERT,8.2,A,22.5679968064462,91.6846866604958,
192,N1,208.1,Box Culvert,bridge,R. R TEXTAIL BOX CULVERT,4.5,A,22.5664212916363,91.6851826636363,
193,N1,209.024,Box Culvert,bridge,OHIDPUR BOX CULVERT,4.1,A,22.5585210862619,91.687506242492,
194,N1,209.514,RCC Girder Bridge,bridge,BARSH BARIA BRIDGE,21.6,B,22.5543319776357,91.6887963149094,
195,N1,210.476,Box Culvert,bridge,SOUTH BALSH KHALI BOX CULVERT,3.0,A,22.5467727210909,91.6926260603636,
196,N1,210.776,Box Culvert,bridge,DOKHIN BASH-KHALI BOX CULVERT,5.2,A,22.5444897756363,91.6941310785454,
197,N1,211.433,Box Culvert,bridge,SOTTANA MONDIR CULVERT,8.2,A,22.5390300234693,91.6965452744898,
198,N1,212.483,Box Culvert,bridge,GULAM JUTE MILE BOX CULVERT,3.0,A,22.5303678038461,91.7004641228571,
199,N1,213.386,Arch Masonry,bridge,KYSTELGATE ARCH,16.3,B,22.5229359167189,91.7038366163009,
200,N1,214.807,RCC Girder Bridge,bridge,BORO KUMIRA BRIDGE,27.0,C,22.5113471164122,91.7087907889313,
201,N1,215.467,Box Culvert,bridge,ROYL CIMINT GATE CULVETRT,4.5,A,22.5060220437735,91.7112848218867,
202,N1,215.896,intersection,intersection,Km post missing,,,22.5025556,91.7130556,N2
203,N1,216.196,RCC Girder Bridge,bridge,GORA MARA RCC GIRDER BRIDGE,17.6,A,22.5000858335766,91.7141504905109,
204,N1,217.377,Box Culvert,bridge,GORA MARI BOX CULVERT,3.0,B,22.4904405976324,91.7182726733934,
205,N1,217.942,Box Culvert,bridge,BARAOWLLA BOX CULVERT,4.5,A,22.4855480068965,91.7195309517241,
206,N1,218.441,RCC Girder Bridge,bridge,Baro Aulia,24.33,D,22.4811642144766,91.7203633632516,
207,N1,219.427,Box Culvert,bridge,HATIBORI BOX CULVERT,6.0,A,22.4728530893544,91.7232633541336,
208,N1,220.725,RCC Girder Bridge,bridge,Modonhat Bridge,24.32,D,22.4624386352,91.7285307,
209,N1,222.357,Box Culvert,bridge,KODOM RASUL BOX CULVERT,3.0,A,22.4488628503871,91.7342823894358,
210,N1,222.687,RCC Girder Bridge,bridge,SALAKHARPAD BRIDGE,26.3,C,22.4460793332411,91.7353674287057,
211,N1,223.743,Box Culvert,bridge,HASNA BAD BOX CULVERT,3.0,A,22.4375035216216,91.7386659473513,
212,N1,224.053,RCC Girder Bridge,bridge,VATERIE BRIDGE,40.0,A,22.4350737918918,91.7396527192432,
213,N1,225.702,PC Girder Bridge,bridge,DHAMAKHALI BRIDGE,35.1,B,22.4220415536,91.7480209792,
214,N1,228.029,Box Culvert,bridge,VATIARI CULVERT,5.0,A,22.4030145445,91.75657411625,
215,N1,228.797,Box Culvert,bridge,T. B HOSPITAL GATE BOX CULVERT,3.0,A,22.3963398830265,91.7582551580777,
216,N1,229.203,PC Girder Bridge,bridge,GAMMON BRIDGE,18.0,A,22.3927175345622,91.7590882138248,
217,N1,230.13,Box Culvert,bridge,PAKKA MATA BOX CULVERT,3.0,A,22.38524588272,91.76250565776,
218,N1,230.921,Box Culvert,bridge,GLAXO BOX CULVERT,8.3,A,22.3797011826666,91.7670476533333,
219,N1,231.966,Box Culvert,bridge,CORNAIL HAT BOX CULVERT,3.0,A,22.3696841276595,91.7739258709219,
220,N1,242.016,Box Culvert,bridge,BOALIA BOX CULVERT,4.65,C,22.3599057425992,91.8522694918171,
221,N1,242.898,RCC Girder Bridge,bridge,BAKULIA BRIDGE,14.7,B,22.3522674714754,91.852622049836,
222,N1,244.367,RCC Girder Bridge,bridge,5 No hafez bazar Bridge,39.67,C,22.3395393508599,91.8533871579852,
223,N1,244.856,RCC Girder Bridge,bridge,Tulatuli Bridge,40.38,C,22.3357673216494,91.8538536927835,
224,N1,244.975,RCC Girder Bridge,bridge,Rajakhali Bridge,49.31,C,22.3349153368556,91.8533979043814,
225,N1,246.02,Truss With Timber Deck,bridge,Hajrath Sha Amanath Satu,914.0,C,22.3266451369152,91.852759390139,
226,N1,247.637,RCC Girder Bridge,bridge,SHIKALBAHA BRIDGE,11.0,C,22.3129265129032,91.856181916129,
227,N1,248.499,Box Culvert,bridge,SHIKALBAHA,15.2,C,22.306457756,91.860449028,
228,N1,249.04,Box Culvert,bridge,SOUTH MITTACHORI,3.0,A,22.3026235524271,91.8635646970873,
229,N1,249.348,Box Culvert,bridge,SHIKALBAHA BOX CULVERT,5.7,B,22.3002851293515,91.8652980307167,
230,N1,249.674,Box Culvert,bridge,KADUMTOLI CULVERT,3.0,A,22.2975350260563,91.866363031514,
231,N1,250.215,Slab Culvert,bridge,ISLAMPUR CULVERT,1.5,A,22.2932366309133,91.8684360651053,
232,N1,250.519,Box Culvert,bridge,NOLBILA CULVERT,3.0,A,22.2916421411764,91.8702911411764,
233,N1,250.841,Box Culvert,bridge,SHIKALBAHA MORE,3.0,A,22.2926079302013,91.8730201176733,
234,N1,251.281,Box Culvert,bridge,SHIKALBAHA BOX CULVERT,3.0,A,22.2944653526717,91.876717971374,
235,N1,251.538,PC Girder Bridge,bridge,SHIKALBAHA BRIDGE,116.5,C,22.2962698699619,91.8807528022813,
236,N1,252.506,Box Culvert,bridge,SHANTERHAT CULVERT,3.0,B,22.2988369230769,91.8873512822898,
237,N1,253.777,Box Culvert,bridge,SHANTERHAT BOX CULVERT,3.1,B,22.3021025781938,91.8992582823788,
