,road,km,type,model_type,name,length,condition,lat,lon,intersec_to
0,N1,0.0,sourcesink,sourcesink,sourcesink,0.0,,23.7060278,90.443333,
1,N1,1.8,Box Culvert,bridge,.,11.3,A,23.69873866,90.4588610799999,
2,N1,4.925,Box Culvert,bridge,.,6.6,A,23.6946638363636,90.4877749181818,
3,N1,8.763,intersection,intersection,Road to Sylhet (N2),0.0,,23.7060833,90.5215271,N102
4,N1,8.763,intersection,intersection,Road to Sylhet (N2),0.0,,23.7060833,90.5215271,N2
5,N1,8.976,PC Girder Bridge,bridge,KANCHPUR PC GIRDER BRIDGE,397.0,C,23.7050598925675,90.5232141463513,
6,N1,10.543,Box Culvert,bridge,KATCHPUR BOX CULVERT,8.0,B,23.6964000869109,90.5350989801047,
7,N1,10.88,Box Culvert,bridge,NOYAPARA CULVERT,6.3,A,23.6943906141361,90.5375740774869,
8,N1,10.897,Box Culvert,bridge,ADUPUR CULVERT,6.3,A,23.6943023869158,90.5377073719626,
9,N1,11.296,Box Culvert,bridge,NAYABARI KASPUR BOX CULVERT,8.3,A,23.6923601518691,90.5409183897196,
10,N1,11.808,Box Culvert,bridge,NAYABARI BOX CULVERT,10.6,B,23.6909119315151,90.5454624957575,
11,N1,12.239,Box Culvert,bridge,KHAS PARA BOX CULVERT,9.3,A,23.6884123260204,90.5485585290816,
12,N1,12.253,Box Culvert,bridge,DAWAN BAG BOX CULVERT,6.1,A,23.6883197331632,90.548649807653,
13,N1,12.66,PC Girder Bridge,bridge,MADAN PUR (R,26.3,A,23.685583027027,90.551207981081,
14,N1,12.688,PC Girder Bridge,bridge,Madanpur Bridge(R,27.5,A,23.6853619779342,90.5513591765258,
15,N1,13.574,Box Culvert,bridge,KAWTALA BOX CULVERT,11.9,A,23.6778035,90.5558194349999,
16,N1,15.465,Box Culvert,bridge,MALIBAG BOX CULVERT,5.55,B,23.6633090696149,90.563856994797,
17,N1,17.134,RCC Girder Bridge,bridge,Langalbandh Bridge.,159.52,C,23.6544257051136,90.576730225,
18,N1,17.222,PC Girder Bridge,bridge,Darikandi Bridge (R,20.45,A,23.65397226,90.57741042,
19,N1,17.222,PC Girder Bridge,bridge,Darikandi Bridge (L,20.5,A,23.65397226,90.57741042,
20,N1,17.722,PC Girder Bridge,bridge,DARIKANDI BRIDGE (R,20.0,B,23.6515705663716,90.5814943946902,
21,N1,17.722,PC Girder Bridge,bridge,DARIKANDI BRIDGE (L,20.0,B,23.6515705663716,90.5814943946902,
22,N1,18.093,PC Girder Bridge,bridge,SONARKALI BRIDGE(L,24.5,B,23.6497543993548,90.5845490085483,
23,N1,18.742,PC Girder Bridge,bridge,MOLLIK PARA BRIDGE (R,40.5,C,23.6459685949152,90.5892119813559,
24,N1,19.76,Box Culvert,bridge,KRIBORDI BOX CULVERT,6.0,A,23.6379543715384,90.5936673976923,
25,N1,20.397,Box Culvert,bridge,SHADIPUR BOX CULVERT,10.4,B,23.63380522,90.597394085,
26,N1,21.184,PC Girder Bridge,bridge,MARIKHALL BRIDGE,89.2,A,23.6284668507692,90.6023015723077,
27,N1,22.328,Box Culvert,bridge,SANGAKADI CULVERT,5.5,B,23.6198832229508,90.6083528852459,
28,N1,22.596,PC Girder Bridge,bridge,Ashariarchar Bridge(R,224.82,B,23.6176407964705,90.6095506105882,
29,N1,23.081,PC Girder Bridge,bridge,ASHIR CHAR (R,116.8,B,23.613587384385,90.6109029561497,
30,N1,24.393,PC Box,bridge,MEGHNA BRIDGE,900.0,C,23.6027595885583,90.6155316965675,
31,N1,26.115,Box Culvert,bridge,TATULTALA CULVERT,5.6,A,23.5929818827893,90.6279699370919,
32,N1,26.452,Box Culvert,bridge,BAILAKANDI CULVERT,5.5,A,23.5908088547468,90.6302368598101,
33,N1,27.12,Box Culvert,bridge,MALUAKANDI CULVEDRT,5.6,A,23.58631812254,90.6345094207093,
34,N1,28.315,PC Girder Bridge,bridge,BHATIR CHAR BRIDGE,163.5,A,23.5779800248475,90.6419193089939,
35,N1,29.842,Box Culvert,bridge,VITIKANDA - ANAR PUR CULVERT,34.7,A,23.5660033956521,90.6486237247282,
36,N1,30.908,PC Girder Bridge,bridge,Alipur bridge(R,27.4,A,23.5591910296296,90.6557475703703,
37,N1,30.908,PC Girder Bridge,bridge,ALIPURA BRIDGE (L,26.3,B,23.5591910296296,90.6557475703703,
38,N1,31.472,PC Girder Bridge,bridge,VOBAR CHAR (L,29.0,A,23.5557082901265,90.6597414245569,
39,N1,31.472,PC Girder Bridge,bridge,VOBAR CHAR BRIDGE(R,29.0,A,23.5557082901265,90.6597414245569,
40,N1,32.121,PC Girder Bridge,bridge,BOBARCHAR BRIDGE(L,28.9,A,23.5517421907216,90.6643538752577,
41,N1,32.777,Box Culvert,bridge,PURRANBUICHE BOX CULVERT,9.1,A,23.5477377446428,90.6690554098214,
42,N1,32.796,Box Culvert,bridge,NOYAPARA,5.2,A,23.5476246437499,90.669192065625,
43,N1,33.591,PC Girder Bridge,bridge,Madhya Baushia Bridge(R,59.83,A,23.54268543125,90.6748292125,
44,N1,34.111,Box Culvert,bridge,BOCTAR KANDI BOX CULVERT,5.1,C,23.5393910168,90.6784577888,
45,N1,35.181,Box Culvert,bridge,.,9.5,A,23.5327751898617,90.6858701078341,
46,N1,35.408,PC Girder Bridge,bridge,BORAKANDI BRIDGE(L,24.5,B,23.5313996605222,90.68744892596,
47,N1,35.408,RCC Girder Bridge,bridge,CHAR BOWSHIA BRIDGE(R,24.5,B,23.5313996605222,90.68744892596,
48,N1,35.707,Box Culvert,bridge,CHAR BOUSHEA (2,8.4,A,23.5301519626506,90.6897951837349,
49,N1,37.01,PC Box,bridge,Daud Kandi Bridge,1408.8,C,23.5303844733,90.7024402743,
50,N1,39.304,RCC Girder Bridge,bridge,BALDHA KHAL RCC GIDER BRIDGE,21.8,C,23.5324186,90.7242807234,
51,N1,39.86,Box Culvert,bridge,MAIS PARA BOX CULVERT,6.0,B,23.5317587831999,90.7291780095,
52,N1,42.936,RCC Girder Bridge,bridge,Shahid Nagor Bridge,16.5,C,23.5298050611,90.75825325,
53,N1,45.164,Box Culvert,bridge,SARKAR BARI CULVERT,3.9,C,23.5307655282208,90.7800797251533,
54,N1,46.871,Slab Culvert,bridge,AMIRABATH SLAB CULVERT,6.5,C,23.5308683409424,90.7918075171727,
55,N1,48.384,RCC Bridge,bridge,Ginlatoly,15.9,C,23.5318234765,90.8110155135,
56,N1,50.558,Box Culvert,bridge,RAIPUR BOX CULVERT,12.2,A,23.5329743291,90.8309774761999,
57,N1,52.313,Box Culvert,bridge,AITAL BANGA BOX CULVERT,4.5,C,23.5229166652,90.8442186132,
58,N1,56.006,RCC Girder Bridge,bridge,Illiot bazar Bridge,28.9,C,23.510087758207,90.8757204035353,
